time,value
0,5.0673
1,4.9941
2,4.4139
3,3.8005
4,3.0456
5,2.9749
6,2.3482
7,2.0573
8,1.2745
9,1.0029
10,0.92525
11,0.0908
12,-0.47446000000000005
13,-0.67914
14,1.014
15,0.8219
16,0.547
17,0.11185999999999999
18,-0.13360999999999998
19,-0.32031
20,-0.72077
21,-0.7140000000000001
22,-0.32623
23,-0.048937
24,-0.32427
25,-0.47981
26,1.8109
27,1.3359
28,1.0979999999999999
29,0.38526
30,0.0036311
31,-0.12467
32,-0.092401
33,-0.096065
34,-0.1827
35,-0.31795
36,-0.59641
37,-0.69184
38,-0.05606799999999999
39,0.82878
40,0.13760999999999998
41,-0.034599
42,-0.40712
43,-0.30307
44,-0.60672
45,-0.49303
46,-0.34758
47,-0.41828999999999994
48,-0.64656
49,-0.5252899999999999
50,-0.8033600000000001
51,0.6772
52,0.059043
53,-0.26143
54,-0.46088999999999997
55,-0.3524
56,-0.44014
57,-0.38366999999999996
58,-0.48848
59,-0.49775
60,-0.6137
61,-0.43215
62,0.42535
63,0.21005
64,-0.23601999999999998
65,-0.47579
66,-0.7322
67,-0.38409
68,-0.40868000000000004
69,-0.30425
70,-0.41708
71,-0.43273999999999996
72,-0.67835
73,-0.68607
74,-0.65045
75,-0.61805
76,-0.27592
77,-0.52079
78,-0.075193
79,-0.15553
80,-0.1677
81,-0.25094
82,0.68714
83,0.47017
84,-0.086409
85,-0.11871
86,-0.71659
87,-0.53513
88,-0.26848
89,-0.25181
90,-0.2416
91,-0.39532
92,-0.47381999999999996
93,-0.43243000000000004
94,-0.6483899999999999
95,0.13287000000000002
96,-0.32439
97,-0.8226700000000001
98,-0.72338
99,-0.6409
100,-0.55681
101,-0.68191
102,-0.15336
103,-0.5531699999999999
104,0.31618
105,-0.29402
106,-0.6593600000000001
107,-0.64452
108,-0.25106999999999996
109,-0.72359
110,-0.69798
111,-0.71311
112,-0.57828
113,-0.65651
114,-0.57536
115,-0.31722
116,-0.7222
117,-0.74397
118,-0.7386699999999999
119,-0.46255
120,-0.47284
121,-0.28936
122,-0.50712
123,-0.34661
124,-0.48323999999999995
125,-0.28062
126,-0.46725
127,-0.48108999999999996
128,-0.38742
129,-0.6885899999999999
130,-0.41518
131,-0.79642
132,-0.61878
133,-0.80229
134,-0.68148
135,-0.27879
136,-0.5787899999999999
137,-0.41086999999999996
138,1.2077
139,0.7730100000000001
140,-0.07069099999999999
141,0.061401
142,0.11229000000000001
143,-0.15577
144,-0.65898
145,-0.17647000000000002
146,-0.6160100000000001
147,-0.099302
148,0.17317000000000002
149,0.049855000000000003
150,0.18300999999999998
151,0.17008
152,0.10392
153,0.97519
154,2.1022
155,0.1213
156,0.07134
157,1.063
158,0.8456100000000001
159,0.49137
160,0.61393
161,0.074237
162,-0.26976999999999995
163,-0.6582899999999999
164,-0.36991999999999997
165,-0.42951000000000006
