time,value
0,2.0233
1,4.7242
2,3.9199
3,3.763
4,3.1764
5,2.9497
6,2.2937
7,1.5817
8,-0.9113899999999999
9,-0.8937200000000001
10,-0.71385
11,-0.83998
12,-0.81316
13,-0.81339
14,-0.81161
15,-0.8343799999999999
16,-0.7068
17,-0.67373
18,-0.39679000000000003
19,-0.2423
20,0.23446999999999998
21,0.39079
22,0.60637
23,0.54135
24,-0.28110999999999997
25,-0.70902
26,1.5875
27,1.4589
28,1.4121
29,0.6645399999999999
30,0.65381
31,0.6288600000000001
32,0.56252
33,0.30671
34,-0.080036
35,-0.53201
36,-0.5351100000000001
37,-0.8168300000000001
38,-0.57324
39,-0.85554
40,-0.86908
41,-0.67199
42,-0.37163
43,-0.2895
44,-0.22893000000000002
45,-0.75067
46,0.12929000000000002
47,-0.65596
48,-0.83867
49,-0.75988
50,0.54697
51,-0.80847
52,-0.73393
53,-0.3676
54,0.13716
55,-0.09307
56,-0.40684000000000003
57,-0.50262
58,-0.70406
59,-0.75815
60,-0.84729
61,-0.6993
62,0.24846
63,-0.7207899999999999
64,-0.48443
65,-0.3114
66,0.0089558
67,-0.016004
68,-0.15880999999999998
69,-0.23387
70,-0.49413999999999997
71,-0.54464
72,-0.69222
73,0.16397
74,0.11911
75,0.06200800000000001
76,0.1626
77,-0.80838
78,0.71662
79,0.40428000000000003
80,0.16938
81,-0.19022
82,-0.8327200000000001
83,-0.80555
84,-0.69765
85,-0.53645
86,0.32431
87,0.32902
88,0.45656
89,0.34338
90,0.19738
91,-0.5766100000000001
92,-0.63874
93,-0.5871
94,-0.66066
95,-0.74653
96,-0.33111
97,-0.27929
98,-0.86221
99,-0.7741399999999999
100,-0.7498
101,-0.763
102,-0.5341199999999999
103,-0.19795
104,-0.88956
105,-0.40091
106,0.09557
107,-0.016326
108,0.058564
109,-0.70334
110,-0.78466
111,-0.81365
112,-0.28606
113,0.086371
114,0.021
115,0.12393
116,-0.8436600000000001
117,-0.8864799999999999
118,0.13956
119,0.14188
120,0.020848
121,-0.13667
122,-0.44208000000000003
123,-0.0021249000000000003
124,-0.66166
125,0.066902
126,-0.58103
127,-0.5473
128,-0.5135
129,-0.88986
130,-0.36365
131,-0.9154700000000001
132,-0.55994
133,-0.9513299999999999
134,-0.8972700000000001
135,-0.9530799999999999
136,-0.94605
137,-0.8923399999999999
138,0.91938
139,1.2212
140,0.52845
141,0.42031999999999997
142,0.60846
143,0.40405
144,-0.83306
145,0.2125
146,-0.82186
147,0.57029
148,0.76712
149,0.67907
150,0.7626
151,0.7731399999999999
152,0.81274
153,2.4191
154,2.4907
155,0.60056
156,0.5092
157,2.1306
158,1.9079
159,0.29755
160,1.4501
161,-0.08261900000000001
162,-0.42113
163,-0.6626
164,-0.44022
165,-0.47917
